Leading and Trailing Edges:
      xle          yle          zle          xte          yte          zte
      6.6900       0.0000       1.3020       8.9180       0.0000       1.1852
      6.6900       1.0250       1.3020       8.9180       1.0250       1.1852
      6.6900       6.1500       1.4810       8.9180       6.1500       1.3642
      6.8239      10.2500       1.6241       8.1609      10.2500       1.6008
 
Grids spanwise:        21
Grids clockwise:       15
Panels:               280
  Grid    Span    Chord       xle         yle         zle         xte         yte         zte         dx
       1       1       1      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
       2       2       1      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
       3       3       1      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
       4       4       1      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
       5       5       1      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
       6       6       1      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
       7       7       1      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
       8       8       1      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
       9       9       1      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
      10      10       1      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
      11      11       1      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
      12      12       1      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
      13      13       1      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
      14      14       1      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
      15      15       1      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
      16      16       1      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
      17      17       1      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
      18      18       1      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
      19      19       1      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
      20      20       1      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
      21      21       1      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
      22       1       2      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
      23       2       2      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
      24       3       2      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
      25       4       2      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
      26       5       2      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
      27       6       2      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
      28       7       2      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
      29       8       2      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
      30       9       2      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
      31      10       2      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
      32      11       2      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
      33      12       2      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
      34      13       2      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
      35      14       2      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
      36      15       2      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
      37      16       2      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
      38      17       2      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
      39      18       2      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
      40      19       2      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
      41      20       2      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
      42      21       2      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
      43       1       3      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
      44       2       3      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
      45       3       3      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
      46       4       3      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
      47       5       3      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
      48       6       3      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
      49       7       3      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
      50       8       3      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
      51       9       3      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
      52      10       3      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
      53      11       3      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
      54      12       3      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
      55      13       3      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
      56      14       3      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
      57      15       3      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
      58      16       3      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
      59      17       3      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
      60      18       3      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
      61      19       3      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
      62      20       3      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
      63      21       3      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
      64       1       4      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
      65       2       4      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
      66       3       4      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
      67       4       4      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
      68       5       4      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
      69       6       4      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
      70       7       4      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
      71       8       4      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
      72       9       4      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
      73      10       4      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
      74      11       4      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
      75      12       4      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
      76      13       4      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
      77      14       4      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
      78      15       4      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
      79      16       4      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
      80      17       4      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
      81      18       4      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
      82      19       4      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
      83      20       4      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
      84      21       4      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
      85       1       5      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
      86       2       5      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
      87       3       5      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
      88       4       5      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
      89       5       5      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
      90       6       5      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
      91       7       5      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
      92       8       5      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
      93       9       5      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
      94      10       5      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
      95      11       5      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
      96      12       5      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
      97      13       5      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
      98      14       5      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
      99      15       5      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     100      16       5      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     101      17       5      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     102      18       5      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     103      19       5      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     104      20       5      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     105      21       5      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     106       1       6      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     107       2       6      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     108       3       6      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     109       4       6      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     110       5       6      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     111       6       6      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
